"","yellow2","purple","sienna1","X.FF3E96","royalblue3","palegreen3","species"
"Diplodus.annularis",9.98009722699329e-06,9.93967111968395e-06,9.94008015941831e-06,9.88486208750281e-06,9.98479697751284e-06,0.173544534947636,"Diplodus annularis"
"NA..417",9.9992756008171e-06,9.9979251070155e-06,9.99791052466126e-06,9.99602064854357e-06,9.99941744530304e-06,0.00581800395086601,NA
"NA..418",9.99869588514468e-06,9.99614089402565e-06,9.99612380597276e-06,9.99251773021447e-06,9.99897443803944e-06,0.0109962462327357,NA
"Dasyatis.pastinaca",9.99775541869414e-06,9.99321839380437e-06,9.99322498115361e-06,9.98702124843683e-06,9.9982514222786e-06,0.0194069586267419,"Dasyatis pastinaca"
"Dasyatis.tortonesei",9.9983375051021e-06,9.99514060624143e-06,9.99518093887491e-06,9.99080425307501e-06,9.99870977872634e-06,0.0136001208331789,"Dasyatis tortonesei"
"NA..419",9.99976856998305e-06,9.99946949082777e-06,9.99946332831086e-06,9.99905675057373e-06,9.99979690549838e-06,0.00129087908704446,NA
"Xyrichtys.novacula",9.99962600878752e-06,9.9990251395786e-06,9.9990183883834e-06,9.998192198123e-06,9.99968734069022e-06,0.00258467495145345,"Xyrichtys novacula"
"Thalassoma.pavo",9.99188282181319e-06,9.97538386060329e-06,9.97551664400398e-06,9.9528101941898e-06,9.99378069849848e-06,0.0705725568425201,"Thalassoma pavo"
"NA..420",9.99940215255873e-06,9.99834763551642e-06,9.99834306600933e-06,9.99686762315279e-06,9.99951752555273e-06,0.00452816559470365,NA
"Gaidropsarus.mediterraneus",9.99819014370917e-06,9.99456790092281e-06,9.99456286577953e-06,9.98955851728684e-06,9.99858557185773e-06,0.0155249336260811,"Gaidropsarus mediterraneus"
"NA..421",9.99962130936795e-06,9.99901950936326e-06,9.99901480227433e-06,9.99818199467575e-06,9.99968467484625e-06,0.00258592633797427,NA
"NA..422",9.95393653724064e-06,9.85980505074763e-06,9.86024278962084e-06,9.73245110308444e-06,9.96472353914915e-06,0.409744605450726,NA
"NA..423",9.9997677785207e-06,9.99946871403847e-06,9.9994628477594e-06,9.99905413105669e-06,9.99979648086145e-06,0.00129109466172966,NA
"Pseudaphya.ferreri",9.99929756369868e-06,9.99795115350125e-06,9.99792693190516e-06,9.99607184109428e-06,9.9994299926546e-06,0.00581209285690959,"Pseudaphya ferreri"
"NA..424",9.99927766808073e-06,9.99792488128133e-06,9.99791240795415e-06,9.99604536645164e-06,9.99941819146714e-06,0.00581705888122895,NA
"Gobius.cruentatus",9.99866697380899e-06,9.99609194433912e-06,9.9961025401803e-06,9.99255647491949e-06,9.99895588938184e-06,0.0110020576429376,"Gobius cruentatus"
"NA..425",9.99963994946422e-06,9.99904181547007e-06,9.99902950938165e-06,9.9982234234003e-06,9.99969528293739e-06,0.00258090131256017,NA
"NA..426",9.99925853926095e-06,9.99789890145967e-06,9.99789784297013e-06,9.9960222593377e-06,9.99940679673518e-06,0.00582185297669861,NA
"NA..427",9.99474422596859e-06,9.98424427924976e-06,9.98439732003524e-06,9.97006566028957e-06,9.99597562328982e-06,0.0446914451550619,NA
"Torpedo.marmorata",9.99753420593022e-06,9.99211919979451e-06,9.99206892494168e-06,9.9850287867598e-06,9.9980346031273e-06,0.0232291769860336,"Torpedo marmorata"
"Lithognathus.mormyrus",9.9931889539705e-06,9.97960394441072e-06,9.97987201614469e-06,9.9615827085798e-06,9.9947972255301e-06,0.0576567737872545,"Lithognathus mormyrus"
"Gobius.xanthocephalus",9.99814092707717e-06,9.99450125805134e-06,9.99452708262927e-06,9.98950018496647e-06,9.99855608711911e-06,0.0155371272568419,"Gobius xanthocephalus"
"NA..428",9.99957932247658e-06,9.99883208587913e-06,9.99881465349121e-06,9.99781950019148e-06,9.99964662655055e-06,0.00322487329539929,NA
"NA..429",9.99957962689485e-06,9.99883240713723e-06,9.99881488318598e-06,9.99782055846157e-06,9.99964679473495e-06,0.00322478434299637,NA
"NA..430",9.99968921191983e-06,9.99923675175888e-06,9.99923494649864e-06,9.99861324542695e-06,9.99973738389157e-06,0.0019397964319821,NA
"NA..431",9.99976919822559e-06,9.999470186638e-06,9.99946407752231e-06,9.9990589882728e-06,9.9997972380802e-06,0.0012906738757108,NA
"Myliobatis.aquila",9.99726002660897e-06,9.99191507104282e-06,9.99201081116966e-06,9.98475020719001e-06,9.99789394757117e-06,0.0226750551974251,"Myliobatis aquila"
"NA..432",9.99976485504722e-06,9.99946563822398e-06,9.99946058839392e-06,9.99904386649386e-06,9.99979485695024e-06,0.00129195555940414,NA
"Synodus.saurus",9.99969453031209e-06,9.99924568556074e-06,9.99923860145051e-06,9.99860660088474e-06,9.99974082503959e-06,0.00193873456791683,"Synodus saurus"
"NA..433",9.99976549082064e-06,9.99946633592165e-06,9.99946114543028e-06,9.99904611989087e-06,9.99979520327718e-06,0.00129176220181629,NA
"NA..434",9.9997254683915e-06,9.99927802655599e-06,9.99926500707944e-06,9.99871234201424e-06,9.99975724642164e-06,0.00192958972409393,NA
"Trachinus.draco",9.99949584557832e-06,9.99859842101891e-06,9.99858299289982e-06,9.99733654244254e-06,9.9995852681086e-06,0.00387547996303672,"Trachinus draco"
"NA..435",9.99852216710227e-06,9.99564822516309e-06,9.99565589786144e-06,9.9916643081375e-06,9.99884541637946e-06,0.0122969341001868,NA
"NA..436",9.99969413112134e-06,9.99924473134179e-06,9.99923831962573e-06,9.99860841229275e-06,9.99974050877581e-06,0.00193879820464773,NA
"NA..437",9.99942488219821e-06,9.99837530008534e-06,9.99836050009609e-06,9.99691365985516e-06,9.99953046903287e-06,0.00452216890147204,NA
"NA..438",9.99917486762756e-06,9.99765936778348e-06,9.99766643216051e-06,9.99558151569463e-06,9.99934453351085e-06,0.00647169694296976,NA
"Pagellus.erythrinus",9.99521302358686e-06,9.98534589118223e-06,9.985430745899e-06,9.97222765257955e-06,9.99629721018752e-06,0.042053554686883,"Pagellus erythrinus"
"Sciaena.umbra",9.99536435836556e-06,9.98609603085914e-06,9.98620370740046e-06,9.97347018827473e-06,9.99644542365605e-06,0.0395059787843391,"Sciaena umbra"
"NA..439",9.9996275944667e-06,9.99902823400635e-06,9.9990193530861e-06,9.99818738059935e-06,9.99968847259708e-06,0.00258441347152568,NA
"NA..440",9.99932753315791e-06,9.99812083358445e-06,9.9981181816333e-06,9.9964314024228e-06,9.99946068446661e-06,0.00517590891465502,NA
"Diplodus.puntazzo",9.98551068597662e-06,9.95637721393598e-06,9.95683991200476e-06,9.91728274127198e-06,9.98895302189271e-06,0.124372357771819,"Diplodus puntazzo"
"NA..441",9.9997686833137e-06,9.99946966355912e-06,9.99946358431468e-06,9.99905718819891e-06,9.99979696508997e-06,0.00129083024311641,NA
"Uranoscopus.scaber",9.99785308959947e-06,9.99361480909731e-06,9.99363471820626e-06,9.98774030290926e-06,9.99833649216272e-06,0.0181259953482968,"Uranoscopus scaber"
"Myctophum.punctatum",9.9989670779042e-06,9.99700791631511e-06,9.9970024736535e-06,9.99424383169203e-06,9.99918489484596e-06,0.00841187576197797,"Myctophum punctatum"
"NA..442",9.99867540336751e-06,9.99610796949148e-06,9.996109328562e-06,9.99253367686168e-06,9.99896145947022e-06,0.0110005287086742,NA
"Seriola.dumerili",9.99759096569931e-06,9.99275417775379e-06,9.99276286572887e-06,9.98606802944102e-06,9.99813047618777e-06,0.0207074565028019,"Seriola dumerili"
"NA..443",9.99953226180121e-06,9.99877221492858e-06,9.99877920851064e-06,9.99773777610582e-06,9.99961915320949e-06,0.00323705849673291,NA
"NA..444",9.99808771462953e-06,9.99442148781862e-06,9.99448845770323e-06,9.98949813928048e-06,9.99852322705244e-06,0.0155491364318693,NA
"Belone.belone",9.9941306936098e-06,9.98016934242484e-06,9.97999373979793e-06,9.96279766502659e-06,9.99525965622901e-06,0.0599062537696582,"Belone belone"
"NA..445",9.99729585805093e-06,9.99196978885499e-06,9.99203847268256e-06,9.98474342576038e-06,9.99791602842608e-06,0.022667018519167,NA
"NA..446",9.9918490441107e-06,9.97555727977024e-06,9.97583745425108e-06,9.95369166459743e-06,9.99377960172262e-06,0.0693177208089818,NA
"Parablennius.gattorugine",9.98878465004002e-06,9.96402410394458e-06,9.96408332395945e-06,9.9325525305007e-06,9.99119045761666e-06,0.105898731119704,"Parablennius gattorugine"
"NA..447",9.98927991334995e-06,9.96804110561198e-06,9.96855104901273e-06,9.94004894621318e-06,9.99184667479698e-06,0.0900831020629795,NA
"Lepadogaster.lepadogaster",9.99539928903609e-06,9.98636187972422e-06,9.98657731004198e-06,9.97444735113955e-06,9.99648546305935e-06,0.0382337081478147,"Lepadogaster lepadogaster"
"NA..448",9.99649230855933e-06,9.98961784012751e-06,9.98975057534214e-06,9.98041355938154e-06,9.9973128144229e-06,0.0291569150272088,NA
"Xiphias.gladius",0.00127483871316971,9.99738322732523e-06,9.99749880207544e-06,9.9944735283542e-06,9.99934491311012e-06,0.00581986511476839,"Xiphias gladius"
"NA..449",9.99407557961328e-06,9.9824382092842e-06,9.98272196202045e-06,9.96705257856072e-06,9.99548708901343e-06,0.0492581770968873,NA
"Gobius.bucchichi",9.99484232010442e-06,9.98450940734441e-06,9.98463686706436e-06,9.97046959673282e-06,9.9960475447802e-06,0.0440391119892564,"Gobius bucchichi"
"Tripterygion.tripteronotum.1",9.965588227423e-06,9.8958758428262e-06,9.89655824006911e-06,9.80183808475904e-06,9.97372609341368e-06,0.30111593784236,"Tripterygion tripteronotum"
"Parablennius.incognitus",9.97201626401627e-06,9.91543993773155e-06,9.9160874322855e-06,9.83911912238173e-06,9.97865004067362e-06,0.243510597251445,"Parablennius incognitus"
"NA..450",9.98883629143814e-06,9.96658378977269e-06,9.96703915000899e-06,9.93701341741097e-06,9.99149897952868e-06,0.0946002014883156,NA
"Tripterygion.melanurum",9.99401169152226e-06,9.9821085514051e-06,9.98233572264909e-06,9.96622547710942e-06,9.99542526670936e-06,0.0505337205948303,"Tripterygion melanurum"
"NA..451",9.99470100518573e-06,9.98417480753735e-06,9.98436611269889e-06,9.97009731464159e-06,9.99594824846519e-06,0.0447005935057231,NA
"Lepadogaster.candolii",9.99339723148917e-06,9.98002596240203e-06,9.9801944056107e-06,9.96205877982178e-06,9.99493543718449e-06,0.0569779948902258,"Lepadogaster candolii"
"Bothus.podas",9.99976451031131e-06,9.99946531711078e-06,9.99946015756618e-06,9.99904287813866e-06,9.99979471617319e-06,0.00129205709725273,"Bothus podas"
"NA..452",9.99976635193656e-06,9.99946726016139e-06,9.99946168734438e-06,9.99904924169449e-06,9.99979572135335e-06,0.00129151095009449,NA
"NA..453",9.99969335048988e-06,9.99924447475135e-06,9.9992375786954e-06,9.99860267503018e-06,9.99974023273795e-06,0.00193907791140447,NA
"NA..454",9.99976678757942e-06,9.99946766027128e-06,9.99946193875424e-06,9.99905067667256e-06,9.99979594408862e-06,0.00129139558690248,NA
"NA..455",9.97724888631836e-06,9.92978827542328e-06,9.92978192384638e-06,9.86478829747648e-06,9.98250079102107e-06,0.205088192076773,NA
"NA..456",9.99376472127786e-06,9.98129766746462e-06,9.98147230599393e-06,9.96438141767222e-06,9.99523294543299e-06,0.0531153410976686,NA
"NA..457",9.99525369518223e-06,9.98603406006928e-06,9.98630153870177e-06,9.97398146190872e-06,9.99638582164982e-06,0.0388979415779689,NA
"NA..458",9.99692608315585e-06,9.99074030588639e-06,9.99074515704491e-06,9.98205575184664e-06,9.99762570458e-06,0.0265373975918022,NA
"NA..459",9.99561594659067e-06,9.9871478277867e-06,9.98741643173982e-06,9.9761563284795e-06,9.99666265436233e-06,0.0356616037268658,NA
"NA..460",9.98922919523457e-06,9.96753896250071e-06,9.96782871867917e-06,9.93813414087204e-06,9.99177815367745e-06,0.0926221205374906,NA
"NA..461",9.99909790266702e-06,9.99743621961557e-06,9.99743858274488e-06,9.99509751352193e-06,9.99928758553143e-06,0.00712088110341762,NA
"NA..462",9.98337925644145e-06,9.95013637728765e-06,9.95072855462083e-06,9.90565196792452e-06,9.98734927464302e-06,0.141890055143745,NA
"NA..463",9.99968620595776e-06,9.99923600073853e-06,9.99923206067583e-06,9.99858573130954e-06,9.99973615118625e-06,0.00194102104400122,NA
"NA..464",9.9988739897581e-06,9.99675608828637e-06,9.99676389828203e-06,9.99379275524692e-06,9.99911725992579e-06,0.0090640196547164,NA
"NA..465",9.99947273624726e-06,9.99857124808073e-06,9.99856473945809e-06,9.99728080082331e-06,9.99957224884444e-06,0.0038817942954507,NA
"NA..466",9.99974936574069e-06,9.9994441818023e-06,9.99944913273364e-06,9.999030371621e-06,9.99978557339012e-06,0.0012956987948802,NA
"NA..467",9.99976046522362e-06,9.99946089582333e-06,9.99945702675479e-06,9.99903065037782e-06,9.99979246023158e-06,0.00129320502698364,NA
"NA..468",9.99977085543341e-06,9.99947191993763e-06,9.99946523223777e-06,9.99906470346815e-06,9.99979816751292e-06,0.00129019746729519,NA
"Mola.mola",9.99854717614553e-06,9.99554868821357e-06,9.99551047339769e-06,9.99140613274308e-06,9.99884600256449e-06,0.012918474082078,"Mola mola"
"NA..469",9.99969353992509e-06,9.99924344510195e-06,9.99923790043918e-06,9.99861187544662e-06,9.99974011175115e-06,0.00193886030524715,NA
"Micromesistius.poutassou",9.99925998447024e-06,9.99718057271745e-06,9.99709110683699e-06,9.99496341624518e-06,9.99932552425509e-06,0.00895269542078626,"Micromesistius poutassou"
"NA..470",9.99975332491856e-06,9.99945051294337e-06,9.99945172541789e-06,9.99902719352251e-06,9.9997880874323e-06,0.0012948898094432,NA
"NA..471",9.99540372112396e-06,9.98647958017528e-06,9.9867525129315e-06,9.97490430907969e-06,9.99649841894598e-06,0.0376012175690755,NA
"NA..472",9.99895951429353e-06,9.99710597654104e-06,9.99716986863921e-06,9.99471440609326e-06,9.9991899795265e-06,0.00778185681781199,NA
"NA..473",9.98939020232046e-06,9.96799698432747e-06,9.9682824654852e-06,9.9390721574245e-06,9.99189754333353e-06,0.0913226859839288,NA
"NA..474",9.99723079406267e-06,9.99176610796945e-06,9.99181855208503e-06,9.98424881409496e-06,9.99786664110384e-06,0.0233138271656218,NA
"NA..475",9.99915069012907e-06,9.99762553748788e-06,9.99764840035766e-06,9.9955620958767e-06,9.99932998848876e-06,0.0064775292699966,NA
"NA..476",9.9983670305685e-06,9.9951898583214e-06,9.99520146367872e-06,9.99076701925369e-06,9.99872879219927e-06,0.0135942393916425,NA
"NA..477",9.99938646281788e-06,9.99832466168944e-06,9.99833166919847e-06,9.9968615508535e-06,9.99950787257222e-06,0.00453182090433303,NA
"NA..478",9.99876308015101e-06,9.99647010304057e-06,9.99651389836993e-06,9.99338758014907e-06,9.9990371054061e-06,0.00971931978994051,NA
"NA..479",9.99948058223338e-06,9.99857950448239e-06,9.99857086583227e-06,9.99730521408828e-06,9.99957650337306e-06,0.00387956977785562,NA
"NA..480",9.99967581336563e-06,9.99921911142273e-06,9.99922469565236e-06,9.99859419869598e-06,9.99972951372547e-06,0.00194319750890267,NA
"NA..481",9.99893028357264e-06,9.99694815028423e-06,9.99697693578901e-06,9.99427740258706e-06,9.99916141309653e-06,0.00841944674592328,NA
"NA..482",9.99738790653564e-06,9.99192314578049e-06,9.99195598738471e-06,9.98485259587807e-06,9.99794899775846e-06,0.0232657287388312,NA
"NA..483",9.98415912267702e-06,9.95242700534474e-06,9.95299013930755e-06,9.91000254182938e-06,9.98793610772657e-06,0.135402863296004,NA
"NA..484",9.99967782072518e-06,9.99922232357358e-06,9.99922617287122e-06,9.99859258529739e-06,9.9997307549887e-06,0.00194277817043914,NA
"NA..485",9.99961057896788e-06,9.99900672948267e-06,9.99900642993593e-06,9.99815695301233e-06,9.99967858199101e-06,0.00258883986025193,NA
"Canthigaster.valentini",0.0181929807545251,0.00777858951816483,9.98639408749229e-06,0.0166767176116848,9.99563198970525e-06,9.9983161720094e-06,"Canthigaster valentini"
"NA..486",9.99631028116141e-06,0.0041053998804088,9.99723095711542e-06,9.98851368330571e-06,9.99906245665856e-06,9.99967097903713e-06,NA
"Kyphosus.cinerascens",0.00763637667008474,0.0634081468242858,0.0252456917873911,0.141165492083966,9.98085457622482e-06,9.99255728839061e-06,"Kyphosus cinerascens"
"NA..487",9.98902649072669e-06,0.0124017365670367,9.99168795680297e-06,9.96575199642576e-06,9.99725635314605e-06,9.99913156832568e-06,NA
"NA..488",9.99264404529921e-06,0.00826700471184613,9.99442861270953e-06,9.9771029405084e-06,9.99814084514676e-06,9.9993893169907e-06,NA
"NA..489",9.97442223132102e-06,0.0289830688100453,9.98066328216893e-06,9.92070673468108e-06,9.99365841999148e-06,9.99805770208665e-06,NA
"Plectroglyphidodon.dickii.2",0.0596785468136685,0.00802500074595919,9.97483506280466e-06,9.90177534325895e-06,9.99467613083525e-06,9.9971908570523e-06,"Plectroglyphidodon dickii"
"NA..490",9.99614585291969e-06,0.00397472834270373,9.99702463419783e-06,0.00375409076903555,9.9990269880913e-06,9.99963510972078e-06,NA
"Plectroglyphidodon.lacrymatus.1",9.9709373794244e-06,0.03297879944111,9.97817804623026e-06,9.91009589576504e-06,9.99296192978568e-06,9.99791508132702e-06,"Plectroglyphidodon lacrymatus"
"NA..491",9.89067294525179e-06,0.125593178985629,9.91797321103488e-06,9.66507196255714e-06,9.97384317498206e-06,9.99254144846616e-06,NA
"NA..492",9.89046937830326e-06,0.125775778104029,9.91753573802722e-06,9.66532877305099e-06,9.97346340159924e-06,9.99231733768703e-06,NA
"Mulloidichthys.flavolineatus",0.219444646317608,0.141894455957754,9.81589004581516e-06,9.28026615103276e-06,9.93363843992081e-06,9.9775386983153e-06,"Mulloidichthys flavolineatus"
"NA..493",9.99447505806215e-06,0.00617735866349557,9.9958321274931e-06,9.98292899961096e-06,9.99860813704841e-06,9.99953377249151e-06,NA
"Centropyge.multispinis",9.94050400788447e-06,0.0679976014738947,9.95531107018676e-06,9.81574875928207e-06,9.98569125703456e-06,9.99586281188797e-06,"Centropyge multispinis"
"NA..494",9.94037421171154e-06,0.0680393509589439,9.95521603194045e-06,9.81586220017581e-06,9.98562708502378e-06,9.9958189913561e-06,NA
"Novaculichthys.taeniourus.1",9.97628095202689e-06,0.0268706957377186,9.98210647796339e-06,9.92649541156382e-06,9.99416267577801e-06,9.99822507474582e-06,"Novaculichthys taeniourus"
"Crenimugil.crenilabis",9.94589690022849e-06,0.0769592105728754,9.94286834193807e-06,9.76332419219633e-06,9.97583981688881e-06,9.9931667843329e-06,"Crenimugil crenilabis"
"Chromis.lineata",0.0763436030022873,0.168420439047168,9.85725097348419e-06,9.95160133775788e-06,9.95799806795264e-06,9.98590016609352e-06,"Chromis lineata"
"Chlorurus.strongylocephalus",9.85482016433185e-06,0.228723121084675,9.82662094847559e-06,9.30142526149072e-06,9.92157467296713e-06,9.97835430563009e-06,"Chlorurus strongylocephalus"
"NA..495",0.0300859788403148,0.0378190113516713,9.96449301697835e-06,9.85545704280754e-06,9.99034617909436e-06,9.99664559325946e-06,NA
"NA..496",9.99810522859802e-06,0.00205601154992098,9.99855087684353e-06,9.99421483511736e-06,9.99947488278589e-06,9.99978168193835e-06,NA
"NA..497",9.99631110032848e-06,0.00411202309984196,9.99720211666881e-06,9.98853612984861e-06,9.99904980071572e-06,9.99966336567657e-06,NA
"Chromis.weberi",9.89218089662397e-06,0.123706684260738,9.9188803841869e-06,9.67084430085789e-06,9.9738988984249e-06,9.99244372002765e-06,"Chromis weberi"
"NA..498",9.98341400451746e-06,0.0110524289241748,9.98623416012742e-06,0.115717508980704,9.99645581984129e-06,9.9984552849576e-06,NA
"Abudefduf.notatus",9.99573676948043e-06,0.00372698509521323,9.99657902243432e-06,0.0135694151807286,9.99890715416826e-06,9.99952982428116e-06,"Abudefduf notatus"
"Thalassoma.hebraicum",9.85706190005414e-06,0.164876497455701,9.89248535350522e-06,9.56441077413376e-06,9.96553431050245e-06,9.99011625589112e-06,"Thalassoma hebraicum"
"NA..499",9.9674971718436e-06,0.0370026968568051,9.97572753901093e-06,9.89856349941522e-06,9.99232380178981e-06,9.99780029063418e-06,NA
"NA..500",0.0708264502857586,0.00340220575467638,9.97447972407262e-06,9.90072426499361e-06,9.99514966871659e-06,9.99715689958399e-06,NA
"NA..501",9.99810522859802e-06,0.00205601154992098,9.99855087684353e-06,9.99421483511736e-06,9.99947488278589e-06,9.99978168193835e-06,NA
"Chromis.lepidolepis.1",9.97464481137475e-06,0.0288080384007905,9.98098169235465e-06,9.92129768250473e-06,9.99389693084782e-06,9.99820694763402e-06,"Chromis lepidolepis"
"NA..502",9.98354065531638e-06,0.0186304501837451,9.9875375331816e-06,9.94874049396566e-06,9.99589132734089e-06,9.99872040231202e-06,NA
"Gymnothorax.kidako",9.99386007291602e-06,0.00881113790298084,9.99331038538217e-06,9.97191896132558e-06,9.9970943279573e-06,9.99913312824049e-06,"Gymnothorax kidako"
"NA..503",0.024949721612128,0.00446182475421677,9.98706625061422e-06,0.0222469280316258,9.9971605181407e-06,9.99846203555129e-06,NA
"Pateobatis.fai",0.167246341767052,0.0588452832389793,9.90549532372065e-06,9.79423466813813e-06,9.97830247896169e-06,9.99065306526681e-06,"Pateobatis fai"
"NA..504",9.98527714812961e-06,0.0166172617258078,9.98880048501149e-06,9.9542244325088e-06,9.99626152993879e-06,9.99880325638644e-06,NA
"NA..505",9.99088627304944e-06,0.0103007858429595,9.99311767882812e-06,9.97151887242513e-06,9.99774607698251e-06,9.99928980721553e-06,NA
"NA..506",0.0529133582786839,0.00822065666450672,9.97707034717373e-06,9.90973162229336e-06,9.99517969104038e-06,9.99753232946508e-06,NA
"NA..507",9.99262868811281e-06,0.00827151409601073,9.99443904959318e-06,9.9769532917893e-06,9.99815651578216e-06,9.99939581388129e-06,NA
"Chaetodon.trifasciatus",9.99810522859802e-06,0.00205601154992098,9.99855087684353e-06,9.99421483511736e-06,9.99947488278589e-06,9.99978168193835e-06,"Chaetodon trifasciatus"
"Lamprogrammus.niger",9.99929765878346e-06,9.99782249019687e-06,0.00452464178127874,9.99728874937566e-06,9.99953005295484e-06,9.9996953395955e-06,"Lamprogrammus niger"
"NA..508",9.99965908005919e-06,9.99906728132885e-06,0.00180966585981711,9.99886335559334e-06,9.99975204015923e-06,9.99981813114428e-06,NA
"Pteroplatytrygon.violacea",9.9989369732844e-06,9.99657168687689e-06,0.0072392113641355,9.99573769127871e-06,9.99930797660381e-06,9.99957211416357e-06,"Pteroplatytrygon violacea"
"NA..509",9.99953630910051e-06,9.99864844064643e-06,0.00271619111269202,9.99832239063348e-06,9.99967584313534e-06,9.99977518884223e-06,NA
"NA..510",9.99965310671079e-06,9.99906050117387e-06,0.00181260583033078,9.99883332676089e-06,9.99974785182786e-06,9.99981456913749e-06,NA
"NA..511",9.99833581134036e-06,9.99449603352335e-06,0.0117639933283358,9.99313212391353e-06,9.99893622200532e-06,9.99936617723749e-06,NA
"NA..512",9.99965573347483e-06,9.99906448147307e-06,0.0018114299179491,9.99884125181625e-06,9.99974975624159e-06,9.99981616304663e-06,NA
"Grammistes.sexlineatus",9.99629262899782e-06,0.00411135136689154,9.9971994352583e-06,9.98860427058436e-06,9.9990476163554e-06,9.99966184649266e-06,"Grammistes sexlineatus"
"NA..513",9.9638224795457e-06,0.0411721987125762,9.97285929913191e-06,9.88794863346917e-06,9.99130715733836e-06,9.9974676242865e-06,NA
"NA..514",0.0250683081638989,0.0502608953998939,9.9571039284409e-06,9.87311715049273e-06,9.98773098983454e-06,9.99584466317546e-06,NA
"Gnatholepis.anjerensis",0.0699088718937512,0.042700997444726,9.94788736524465e-06,9.79296553814806e-06,9.98669186152054e-06,9.99467983730719e-06,"Gnatholepis anjerensis"
"Parupeneus.barberinus.1",0.0276552550936981,0.0583146982855857,9.94787901916942e-06,9.85953585080301e-06,9.98230235279707e-06,9.99426934527698e-06,"Parupeneus barberinus"
"NA..515",9.9817695240862e-06,0.0206754815128975,9.986211717025e-06,9.94313316787817e-06,9.99548350441277e-06,9.99861260801157e-06,NA
"NA..516",9.99629334303209e-06,0.00411324672143857,9.99719757294165e-06,9.98858582645897e-06,9.99904548018852e-06,9.99966025667219e-06,NA
"NA..517",9.9996586034566e-06,9.99906818677638e-06,0.00180999568592473,9.99885347259884e-06,9.99975219017391e-06,9.99981807217747e-06,NA
"Canthigaster.rostrata",9.97480483585669e-06,9.90807794433095e-06,0.199104117605934,9.86463499867474e-06,9.98367473415248e-06,9.9904922376123e-06,"Canthigaster rostrata"
"NA..518",9.99833053156825e-06,9.9943184004672e-06,0.0118393403967595,9.99174749516867e-06,9.99889482923624e-06,9.99931133310833e-06,NA
"NA..519",9.9990352736905e-06,9.99687224501405e-06,0.00638131498012472,9.99547760696698e-06,9.99934730603445e-06,9.9995754588161e-06,NA
"NA..520",9.98421815153385e-06,9.94203558616495e-06,0.125471096065699,9.91297643485255e-06,9.98977190604763e-06,9.9939992617684e-06,NA
"NA..521",9.99627921116336e-06,9.98703258248968e-06,0.0273163692093364,9.98122556635858e-06,9.9975787291895e-06,9.9985468543484e-06,NA
"NA..522",9.99795683362602e-06,9.99301816779025e-06,0.0145732241728408,9.98990022737688e-06,9.99865495986768e-06,9.99917304697899e-06,NA
"NA..523",9.99894355234123e-06,9.99647502930354e-06,0.00728066467764886,9.99494549571849e-06,9.99928630819932e-06,9.9995435086019e-06,NA
"NA..524",9.99954281051726e-06,9.99861849507296e-06,0.00272953641007008,9.99804348114324e-06,9.99967142044613e-06,9.99976740825867e-06,NA
"NA..525",9.99796971088934e-06,9.99303742039582e-06,0.0145680666621989,9.98992917897761e-06,9.99866420470149e-06,9.99917927921038e-06,NA
"NA..526",9.99772592876126e-06,9.99216966342877e-06,0.0163905804104489,9.98869241682879e-06,9.9985040536638e-06,9.99908705252326e-06,NA
"NA..527",9.99940801227776e-06,9.99817157209605e-06,0.00364568125236307,9.99737949759929e-06,9.99958512878788e-06,9.99971550882555e-06,NA
"Arcos.sp..KU.149",9.99880860693889e-06,9.99602775179166e-06,0.00819740461052773,9.99427125363864e-06,9.9991993576574e-06,9.9994910213378e-06,"Arcos sp. KU 149"
"NA..528",9.99966348278017e-06,9.99904810253166e-06,0.00181902402173479,9.99866628613823e-06,9.99974880554381e-06,9.99981237334394e-06,NA
"NA..529",9.99187975681894e-06,9.96977271265687e-06,0.0654011335483111,9.9549467269769e-06,9.99469297252778e-06,9.99688901365436e-06,NA
"NA..530",9.99872830331245e-06,9.99565131371015e-06,0.00909074849200991,9.9937795255436e-06,9.99914933621639e-06,9.99946714933421e-06,NA
"NA..531",9.99459382378492e-06,9.97980133361952e-06,0.0435786857227018,9.97027322307585e-06,9.99643817169873e-06,9.99791518039638e-06,NA
"NA..532",9.99448838411133e-06,9.9806380613009e-06,0.0409651942233446,9.97199869643391e-06,9.99643164004542e-06,9.99788246013131e-06,NA
"NA..533",9.99833592345524e-06,9.99403705218142e-06,0.012709478322551,9.9912853708784e-06,9.99889042026148e-06,9.99932058270967e-06,NA
"NA..534",9.99885259172271e-06,9.99607780664444e-06,0.00818406600913857,9.99430775830031e-06,9.99922566104392e-06,9.99950975093178e-06,NA
"NA..535",9.99893737344235e-06,9.99647050605361e-06,0.00728392759912738,9.99490424532379e-06,9.99928220494173e-06,9.99953956101655e-06,NA
"Pomacanthus.arcuatus",9.99844188350079e-06,9.99473827406552e-06,0.0109321950156518,9.9923606804908e-06,9.99896250922964e-06,9.99935131517532e-06,"Pomacanthus arcuatus"
"NA..536",9.99941200971564e-06,9.99817740273233e-06,0.00364394887127032,9.99739150170556e-06,9.9995880355417e-06,9.99971763904077e-06,NA
"NA..537",9.99942922538356e-06,9.99819404228475e-06,0.00363802689895059,9.99743781086039e-06,9.99959651516396e-06,9.99972437463197e-06,NA
