"","yellow2","purple","sienna1","X.FF3E96","royalblue3","palegreen3","species"
"NA..21",9.98906211018436e-06,2.08771016104482e-05,0.0320263797969693,0.0920125667730115,9.99594369170938e-06,9.9975663069851e-06,NA
"NA..22",9.99190027867665e-06,9.96705135176107e-06,0.0749070114293287,9.95000983732617e-06,9.99491111197067e-06,9.99707476702088e-06,NA
"Phaeoptyx.pigmentaria",9.99326999254858e-06,9.97520834605964e-06,0.0535683673437844,9.96366076965864e-06,9.99564995631446e-06,9.99745157529263e-06,"Phaeoptyx pigmentaria"
"NA..23",9.95452277757978e-06,0.015198970590773,0.206694550730722,9.7934852639651e-06,9.97977976829053e-06,9.9898389176173e-06,NA
"NA..24",9.99800157115556e-06,9.99138296239003e-06,0.020608485546697,9.98659274542109e-06,9.99885447652563e-06,9.99931543113789e-06,NA
"NA..25",9.99973589751659e-06,9.99915974982349e-06,0.00179167146695984,9.99874442115365e-06,9.99980965453817e-06,9.9998496184643e-06,NA
"NA..26",9.99586832370959e-06,9.98367874131933e-06,0.0377639375197001,9.97654023123916e-06,9.99756530021354e-06,9.9986016670844e-06,NA
"NA..27",0.00548344959459474,0.0479747633068411,0.145984937084878,9.73583029148465e-06,9.97706689471999e-06,0.00423054344207798,NA
"NA..28",9.99826830463327e-06,9.99250895026429e-06,0.017913149815264,9.98839015467373e-06,9.99900212266724e-06,9.99940064680176e-06,NA
"NA..29",9.99973493344077e-06,9.99915885161402e-06,0.00179202677334808,9.99874156485117e-06,9.99980910120645e-06,9.99984918497228e-06,NA
"NA..30",9.9993436505111e-06,9.99756325152069e-06,0.00540530166941924,9.99629146333469e-06,9.99956305769567e-06,9.9997093841251e-06,NA
"NA..31",9.99250964467774e-06,9.97156588893627e-06,0.0625271743290591,9.9575840640112e-06,9.99523539837311e-06,9.99720949731176e-06,NA
"NA..32",9.99725496862613e-06,9.98825513344598e-06,0.0278192922670828,9.98177387159628e-06,9.99839854854403e-06,9.99905641398785e-06,NA
"NA..33",0.00129188469268357,9.99716631803587e-06,0.00533640668083908,9.99488820125778e-06,9.99956661946073e-06,9.99970678470363e-06,NA
"NA..34",9.99676208144655e-06,9.98601529541028e-06,0.0331880250206558,9.978533159195e-06,9.99812313691675e-06,9.99890972248207e-06,NA
"NA..35",0.00351975125184444,0.0552326549693068,0.267818118480718,9.7378740327174e-06,9.96220616266742e-06,0.0342286750543259,NA
"NA..36",9.98097162044055e-06,9.90303997389456e-06,0.179824766172502,0.194639604115274,9.98462989583001e-06,9.99119848404822e-06,NA
"Katsuwonus.pelamis",0.0155767224785912,0.0731108223928623,0.0663641889948756,9.77874396320703e-06,9.97593462272538e-06,9.99151875107679e-06,"Katsuwonus pelamis"
"NA..37",9.99973493344077e-06,9.99915885161402e-06,0.00179202677334808,9.99874156485117e-06,9.99980910120645e-06,9.99984918497228e-06,NA
